apply_id,user_hash,apply_ts,ip,ip_country,device_fp,device_drift,mouse_jitter_ms,key_burst_ratio,rdp_latency_ms,immig_overseas,label,risk_score,reasons,pred
A000063,U3156,2026-04-11T10:00:00+09:00,211.94.98.110,KR,FP_96811,-0.03,21.6,1.24,4.1,False,0,0,,0
A000283,U2333,2026-04-23T13:00:00+09:00,211.47.22.118,KR,FP_68126,-0.041,31.0,0.8,7.1,False,0,0,,0
A000147,U2869,2026-04-27T16:00:00+09:00,211.245.93.69,KR,FP_08271,0.025,5,1.13,5.8,False,0,0,,0
A000174,U5219,2026-04-06T15:00:00+09:00,211.153.172.250,KR,FP_92896,-0.002,15.6,1.18,5.5,False,0,0,,0
A000117,U6063,2026-04-10T14:00:00+09:00,211.43.26.79,KR,FP_20633,0.05,16.8,1.19,7.7,False,0,0,,0
A000281,U6034,2026-04-19T16:00:00+09:00,211.100.125.77,KR,FP_00836,0.06,19.1,0.8,3.2,False,0,0,,0
A000124,U5563,2026-04-08T14:00:00+09:00,211.86.39.58,KR,FP_69548,-0.058,18.6,0.81,11.5,False,0,0,,0
A000372,U5123,2026-04-18T09:00:00+09:00,211.6.128.103,KR,FP_81339,0.117,5.4,0.87,6.3,False,0,0,,0
A000342,U5016,2026-04-06T10:00:00+09:00,211.23.152.148,KR,FP_59760,0.041,6.7,0.8,13.9,False,0,0,,0
A000111,U6993,2026-04-11T13:00:00+09:00,211.191.78.242,KR,FP_08800,0.068,22.3,0.8,8.4,False,0,0,,0
A000526,U0827,2026-04-04T15:00:00+09:00,211.27.44.218,KR,FP_51370,0.079,32.1,0.8,0,False,0,0,,0
A000894,U4069,2026-04-25T10:00:00+09:00,211.137.73.6,KR,FP_01232,0.073,18.8,0.98,0.5,False,0,0,,0
A000609,U1084,2026-04-30T18:00:00+09:00,211.192.45.3,KR,FP_53669,0.024,13.9,1.1,10.0,False,0,0,,0
A000510,U3439,2026-04-23T12:00:00+09:00,211.29.55.44,KR,FP_63395,0.039,6.6,1.07,0,False,0,0,,0
A000693,U1411,2026-04-10T16:00:00+09:00,211.75.242.216,KR,FP_02860,0.13,34.4,0.98,0,False,0,0,,0
A000554,U1611,2026-04-09T18:00:00+09:00,211.200.236.123,KR,FP_96248,0.01,5,0.8,4.1,False,0,0,,0
A000990,U4302,2026-04-26T18:00:00+09:00,123.45.55.198,OVERSEAS,FP_95131,0.075,10.6,0.8,8.6,True,1,90,ip_overseas|immig_overseas,1
A000558,U1817,2026-04-23T11:00:00+09:00,211.129.150.239,KR,FP_86571,0.116,14.4,1.14,3.1,False,0,0,,0
A000830,U9703,2026-04-30T12:00:00+09:00,211.59.188.65,KR,FP_41075,0.113,16.3,1.07,5.0,False,0,0,,0
A000486,U4054,2026-04-30T17:00:00+09:00,211.156.170.250,KR,FP_51564,0.05,18.1,0.92,0.7,False,0,0,,0
A000747,U3697,2026-04-23T15:00:00+09:00,211.38.127.100,KR,FP_21559,0.041,23.2,0.97,4.2,False,0,0,,0
A000195,U8009,2026-04-03T17:00:00+09:00,211.228.28.232,KR,FP_17295,-0.005,19.1,1.21,7.0,False,0,0,,0
A000838,U7905,2026-04-10T11:00:00+09:00,211.107.111.100,KR,FP_96380,0.022,12.3,1.06,3.2,False,0,0,,0
A000305,U5501,2026-04-15T09:00:00+09:00,211.135.107.127,KR,FP_90856,0.085,23.2,1.01,5.2,False,0,0,,0
A000136,U7171,2026-04-02T15:00:00+09:00,211.186.121.227,KR,FP_80032,0.032,36.2,0.8,6.9,False,0,0,,0
A000629,U2349,2026-04-13T15:00:00+09:00,211.52.86.33,KR,FP_47673,0.095,18.6,0.8,0,False,0,0,,0
A000448,U4459,2026-04-23T18:00:00+09:00,211.251.96.164,KR,FP_02543,0.126,41.6,1.53,6.9,False,0,0,,0
A000465,U0956,2026-04-27T18:00:00+09:00,211.136.20.36,KR,FP_39834,0.081,23.3,0.91,4.7,False,0,0,,0
A000541,U7975,2026-04-22T15:00:00+09:00,211.69.43.70,KR,FP_84181,0.084,5,1.24,0.2,False,0,0,,0
A000807,U7898,2026-04-01T15:00:00+09:00,211.218.42.153,KR,FP_78012,-0.012,17.1,1.09,9.4,False,0,0,,0
A000572,U6587,2026-04-11T10:00:00+09:00,211.70.164.109,KR,FP_05976,0.012,15.0,1.08,6.9,False,0,0,,0
A000168,U9465,2026-04-24T14:00:00+09:00,211.97.81.255,KR,FP_67467,-0.051,24.3,0.91,5.0,False,0,0,,0
A000937,U7993,2026-04-14T16:00:00+09:00,211.216.139.163,KR,FP_81647,0.534,146.6,2.23,210.7,True,1,70,mouse_jitter=147ms|key_burst=2.23|rdp_latency=211ms|immig_overseas,1
A000149,U0784,2026-04-28T14:00:00+09:00,211.139.63.188,KR,FP_57273,0.113,9.4,1.16,2.0,False,0,0,,0
A000735,U3486,2026-04-19T17:00:00+09:00,211.144.23.82,KR,FP_96887,0.031,19.2,1.26,9.1,False,0,0,,0
A000487,U4954,2026-04-08T17:00:00+09:00,211.141.31.131,KR,FP_50748,0.121,8.3,1.25,6.2,False,0,0,,0
A000672,U8691,2026-04-14T11:00:00+09:00,211.133.59.160,KR,FP_05789,0.108,18.4,1.16,4.3,False,0,0,,0
A000100,U3847,2026-04-29T17:00:00+09:00,211.69.198.232,KR,FP_48630,0.011,5.5,1.2,3.3,False,0,0,,0
A000831,U8776,2026-04-07T15:00:00+09:00,211.216.163.186,KR,FP_89038,0.074,17.9,0.86,0,False,0,0,,0
A000611,U4980,2026-04-16T17:00:00+09:00,211.237.114.13,KR,FP_00321,0.074,27.0,0.82,0,False,0,0,,0
A000591,U0845,2026-04-04T15:00:00+09:00,211.187.238.20,KR,FP_47917,0.002,30.8,0.93,0,False,0,0,,0
A000433,U5173,2026-04-26T16:00:00+09:00,211.153.128.24,KR,FP_52220,0.074,23.5,1.03,8.7,False,0,0,,0
A000467,U1729,2026-04-25T18:00:00+09:00,211.183.234.218,KR,FP_13645,0.066,25.5,0.85,7.6,False,0,0,,0
A000719,U0535,2026-04-24T11:00:00+09:00,211.189.60.209,KR,FP_14462,0.097,29.0,1.11,5.7,False,0,0,,0
A000057,U1730,2026-04-14T14:00:00+09:00,211.235.78.222,KR,FP_23087,0.037,5,0.95,14.0,False,0,0,,0
A000066,U0842,2026-04-09T16:00:00+09:00,211.58.33.205,KR,FP_64455,0.113,26.3,1.11,5.9,False,0,0,,0
A000390,U2101,2026-04-22T12:00:00+09:00,211.51.145.35,KR,FP_25363,0.027,30.0,0.87,2.1,False,0,0,,0
A000599,U0776,2026-04-05T14:00:00+09:00,211.145.233.85,KR,FP_81086,0.12,12.8,0.88,18.1,False,0,0,,0
A000895,U1393,2026-04-07T11:00:00+09:00,211.245.227.83,KR,FP_40290,0.036,25.0,1.29,7.6,False,0,0,,0
A000922,U5185,2026-04-04T15:00:00+09:00,211.134.1.230,KR,FP_16479,0.538,142.5,2.85,147.9,True,1,70,mouse_jitter=143ms|key_burst=2.85|rdp_latency=148ms|immig_overseas,1
A000424,U2925,2026-04-16T14:00:00+09:00,211.181.111.137,KR,FP_23958,0.122,15.1,1.2,1.8,False,0,0,,0
A000153,U2622,2026-04-01T11:00:00+09:00,211.224.17.64,KR,FP_08813,0.056,34.3,0.8,14.3,False,0,0,,0
A000522,U0068,2026-04-10T09:00:00+09:00,211.44.170.239,KR,FP_06048,0.118,30.3,1.0,3.9,False,0,0,,0
A000056,U9273,2026-04-26T09:00:00+09:00,211.177.219.189,KR,FP_09039,0.004,19.7,1.22,0,False,0,0,,0
A000782,U5085,2026-04-19T12:00:00+09:00,211.234.141.103,KR,FP_00976,0.104,19.4,1.12,0,False,0,0,,0
A000384,U1939,2026-04-18T09:00:00+09:00,211.32.23.37,KR,FP_46885,0.071,17.9,1.04,0.9,False,0,0,,0
A000158,U5923,2026-04-17T12:00:00+09:00,211.62.102.71,KR,FP_31030,0.053,17.8,0.82,3.4,False,0,0,,0
A000373,U6026,2026-04-25T18:00:00+09:00,211.100.99.150,KR,FP_58828,0.083,33.6,1.05,7.9,False,0,0,,0
A000511,U6997,2026-04-20T14:00:00+09:00,211.132.181.66,KR,FP_80517,-0.006,15.4,0.84,0.7,False,0,0,,0
A000639,U3845,2026-04-21T13:00:00+09:00,211.43.33.156,KR,FP_15004,0.045,21.7,0.9,9.9,False,0,0,,0
A000877,U9938,2026-04-04T15:00:00+09:00,211.94.129.251,KR,FP_47656,0.038,24.2,0.85,0,False,0,0,,0
A000933,U6779,2026-04-03T16:00:00+09:00,211.39.107.214,KR,FP_49186,0.415,136.5,1.84,69.5,True,1,70,mouse_jitter=137ms|key_burst=1.84|rdp_latency=69ms|immig_overseas,1
A000317,U0700,2026-04-14T10:00:00+09:00,211.222.103.75,KR,FP_77995,0.045,42.0,1.06,4.0,False,0,0,,0
A000273,U1901,2026-04-15T18:00:00+09:00,211.28.158.89,KR,FP_15656,0.077,20.4,1.23,5.4,False,0,0,,0
A000633,U1579,2026-04-25T10:00:00+09:00,211.252.238.103,KR,FP_38478,0.02,10.1,0.99,9.6,False,0,0,,0
A000849,U2199,2026-04-20T17:00:00+09:00,211.110.183.142,KR,FP_16842,0.043,9.6,0.85,3.8,False,0,0,,0
A000035,U6549,2026-04-22T17:00:00+09:00,211.169.14.59,KR,FP_34238,0.106,43.1,0.99,7.4,False,0,0,,0
A000133,U5073,2026-04-18T15:00:00+09:00,211.168.65.47,KR,FP_84676,0.021,9.5,1.17,5.5,False,0,0,,0
A000574,U2585,2026-04-01T16:00:00+09:00,211.41.3.3,KR,FP_23517,0.12,13.0,0.86,2.7,False,0,0,,0
A000694,U7948,2026-04-16T09:00:00+09:00,211.230.124.103,KR,FP_38645,-0.036,12.0,1.02,5.2,False,0,0,,0
A000412,U6771,2026-04-18T17:00:00+09:00,211.247.91.189,KR,FP_73282,0.014,17.4,0.94,9.3,False,0,0,,0
A000852,U1271,2026-04-09T10:00:00+09:00,211.56.208.33,KR,FP_43170,0.02,12.7,0.92,8.5,False,0,0,,0
A000399,U4315,2026-04-19T17:00:00+09:00,211.89.192.193,KR,FP_47881,-0.041,8.8,1.13,6.8,False,0,0,,0
A000534,U7585,2026-04-11T17:00:00+09:00,211.49.227.90,KR,FP_40375,0.068,19.0,1.28,10.8,False,0,0,,0
A000313,U3057,2026-04-15T09:00:00+09:00,211.134.225.238,KR,FP_34525,0.056,27.8,1.31,8.2,False,0,0,,0
A000962,U8628,2026-04-15T14:00:00+09:00,211.183.239.181,KR,FP_56056,0.819,94.4,1.77,131.4,True,1,70,mouse_jitter=94ms|rdp_latency=131ms|device_drift=0.82|immig_overseas,1
A000998,U0511,2026-04-06T14:00:00+09:00,8.8.176.110,OVERSEAS,FP_77494,0.118,22.2,1.09,0,True,1,90,ip_overseas|immig_overseas,1
A000692,U3084,2026-04-28T09:00:00+09:00,211.107.246.74,KR,FP_85163,0.055,39.2,1.16,0.2,False,0,0,,0
A000659,U6766,2026-04-30T14:00:00+09:00,211.216.51.82,KR,FP_91552,0.049,23.7,0.8,8.9,False,0,0,,0
A000974,U7169,2026-04-22T13:00:00+09:00,123.45.104.17,OVERSEAS,FP_56894,0.086,5,1.09,11.2,True,1,90,ip_overseas|immig_overseas,1
A000564,U7899,2026-04-04T18:00:00+09:00,211.183.170.155,KR,FP_52510,0.21,31.6,0.89,1.2,False,0,0,,0
A000186,U6505,2026-04-26T16:00:00+09:00,211.95.148.19,KR,FP_01215,0.03,33.0,1.16,3.0,False,0,0,,0
A000705,U7195,2026-04-14T09:00:00+09:00,211.125.242.174,KR,FP_37586,0.029,19.9,0.8,11.0,False,0,0,,0
A000462,U2127,2026-04-06T09:00:00+09:00,211.103.54.248,KR,FP_25116,0.103,27.6,1.15,0,False,0,0,,0
A000209,U1923,2026-04-24T16:00:00+09:00,211.124.104.203,KR,FP_31370,-0.032,14.4,0.82,9.2,False,0,0,,0
A000426,U1965,2026-04-30T10:00:00+09:00,211.252.3.21,KR,FP_63215,0.02,26.3,1.33,0,False,0,0,,0
A000876,U4047,2026-04-11T09:00:00+09:00,211.93.20.0,KR,FP_06833,0.026,12.5,0.96,9.0,False,0,0,,0
A000010,U6917,2026-04-20T10:00:00+09:00,211.197.195.239,KR,FP_69353,0.049,32.7,1.28,2.3,False,0,0,,0
A000420,U4278,2026-04-06T15:00:00+09:00,211.54.37.150,KR,FP_44561,0.135,14.1,1.39,2.3,False,0,0,,0
A000166,U5232,2026-04-24T14:00:00+09:00,211.204.66.189,KR,FP_67500,0.009,16.7,0.85,5.8,False,0,0,,0
A000885,U3610,2026-04-10T13:00:00+09:00,211.60.87.114,KR,FP_05979,0.009,18.3,0.8,0,False,0,0,,0
A000503,U2460,2026-04-06T11:00:00+09:00,211.91.26.214,KR,FP_40379,0.019,35.9,0.8,7.3,False,0,0,,0
A000948,U6932,2026-04-06T13:00:00+09:00,211.52.75.236,KR,FP_14048,0.908,78.9,1.62,83.4,True,1,70,mouse_jitter=79ms|rdp_latency=83ms|device_drift=0.91|immig_overseas,1
A000312,U1893,2026-04-10T15:00:00+09:00,211.241.250.135,KR,FP_11946,0.019,12.3,0.86,8.6,False,0,0,,0
A000479,U5985,2026-04-12T12:00:00+09:00,211.164.176.12,KR,FP_39954,0.073,28.1,1.16,0,False,0,0,,0
A000640,U6922,2026-04-19T17:00:00+09:00,211.215.136.10,KR,FP_91221,0.04,20.4,0.89,10.9,False,0,0,,0
A000047,U7634,2026-04-14T09:00:00+09:00,211.105.215.199,KR,FP_76557,0.059,19.3,1.19,0.5,False,0,0,,0
A000456,U0984,2026-04-02T14:00:00+09:00,211.78.54.64,KR,FP_63943,0.065,48.1,1.08,0,False,0,0,,0
A000301,U6482,2026-04-19T10:00:00+09:00,211.172.154.165,KR,FP_17885,0.13,17.5,0.8,7.8,False,0,0,,0
A000538,U4820,2026-04-02T14:00:00+09:00,211.27.0.183,KR,FP_14379,0.114,5,1.03,12.7,False,0,0,,0
A000636,U8038,2026-04-22T17:00:00+09:00,211.240.243.80,KR,FP_66413,0.087,22.7,0.84,2.4,False,0,0,,0
A000257,U1526,2026-04-13T17:00:00+09:00,211.142.188.232,KR,FP_63969,0.048,20.6,1.05,0,False,0,0,,0
A000310,U8850,2026-04-09T13:00:00+09:00,211.152.121.49,KR,FP_06506,0.001,27.9,0.93,5.1,False,0,0,,0
A000022,U7455,2026-04-10T15:00:00+09:00,211.249.79.97,KR,FP_38891,0.053,23.4,0.99,3.2,False,0,0,,0
A000921,U9345,2026-04-13T09:00:00+09:00,211.101.39.74,KR,FP_42433,0.665,180.2,2.46,173.1,True,1,80,mouse_jitter=180ms|key_burst=2.46|rdp_latency=173ms|device_drift=0.66|immig_overseas,1
A000731,U6309,2026-04-04T13:00:00+09:00,211.31.162.237,KR,FP_72499,0.002,26.3,0.88,7.0,False,0,0,,0
A000185,U0970,2026-04-30T10:00:00+09:00,211.118.19.89,KR,FP_54774,0.073,15.8,1.6,0,False,0,0,,0
A000089,U2951,2026-04-06T11:00:00+09:00,211.40.195.123,KR,FP_65231,0.074,17.1,0.85,5.9,False,0,0,,0
A000940,U1226,2026-04-19T15:00:00+09:00,211.222.162.163,KR,FP_25972,0.792,123.1,2.31,104.6,True,1,80,mouse_jitter=123ms|key_burst=2.31|rdp_latency=105ms|device_drift=0.79|immig_overseas,1
A000152,U7326,2026-04-02T14:00:00+09:00,211.222.140.29,KR,FP_09836,0.026,11.0,0.8,4.3,False,0,0,,0
A000711,U2065,2026-04-17T17:00:00+09:00,211.145.109.47,KR,FP_67066,-0.008,16.1,1.01,2.1,False,0,0,,0
A000860,U0228,2026-04-20T12:00:00+09:00,211.3.217.176,KR,FP_32012,0.124,19.5,1.66,0,False,0,0,,0
A000999,U6207,2026-04-27T18:00:00+09:00,203.0.214.62,OVERSEAS,FP_99958,0.07,19.9,1.41,10.5,True,1,90,ip_overseas|immig_overseas,1
A000478,U8590,2026-04-08T12:00:00+09:00,211.36.136.220,KR,FP_42391,0.024,8.0,1.16,8.4,False,0,0,,0
A000471,U4522,2026-04-30T17:00:00+09:00,211.79.48.19,KR,FP_60342,0.033,24.3,0.82,9.9,False,0,0,,0
A000793,U3909,2026-04-07T10:00:00+09:00,211.8.215.14,KR,FP_01909,0.033,25.6,0.93,1.9,False,0,0,,0
A000216,U0258,2026-04-01T17:00:00+09:00,211.210.6.8,KR,FP_69392,0.039,7.8,0.95,10.7,False,0,0,,0
A000578,U7773,2026-04-16T11:00:00+09:00,211.81.22.27,KR,FP_84524,0.027,25.2,1.0,11.9,False,0,0,,0
A000212,U6842,2026-04-10T11:00:00+09:00,211.100.168.117,KR,FP_49787,0.016,16.8,0.8,1.3,False,0,0,,0
A000569,U8792,2026-04-05T18:00:00+09:00,211.119.36.18,KR,FP_96399,0.096,31.3,0.8,7.0,False,0,0,,0
A000259,U8968,2026-04-19T11:00:00+09:00,211.248.175.24,KR,FP_06022,0.121,30.3,0.9,5.6,False,0,0,,0
A000916,U4307,2026-04-29T09:00:00+09:00,211.29.125.4,KR,FP_20259,0.671,74.2,2.15,121.2,True,1,80,mouse_jitter=74ms|key_burst=2.15|rdp_latency=121ms|device_drift=0.67|immig_overseas,1
A000037,U8822,2026-04-22T12:00:00+09:00,211.186.220.35,KR,FP_87063,0.111,13.3,0.95,2.8,False,0,0,,0
A000230,U4522,2026-04-14T13:00:00+09:00,211.247.39.184,KR,FP_32991,0.125,14.5,0.8,5.2,False,0,0,,0
A000175,U1796,2026-04-14T18:00:00+09:00,211.157.13.242,KR,FP_34804,0.136,16.4,1.04,0,False,0,0,,0
A000016,U3682,2026-04-03T14:00:00+09:00,211.10.117.112,KR,FP_00943,0.114,26.1,1.06,15.8,False,0,0,,0
A000918,U7803,2026-04-04T13:00:00+09:00,211.232.19.79,KR,FP_61600,0.343,171.2,2.65,164.2,True,1,70,mouse_jitter=171ms|key_burst=2.65|rdp_latency=164ms|immig_overseas,1
A000660,U8974,2026-04-24T14:00:00+09:00,211.232.14.26,KR,FP_84067,0.006,9.0,1.03,2.4,False,0,0,,0
A000327,U5731,2026-04-12T11:00:00+09:00,211.132.46.145,KR,FP_03598,0.027,23.9,0.8,0,False,0,0,,0
A000512,U2948,2026-04-29T18:00:00+09:00,211.119.148.99,KR,FP_00208,0.091,27.6,1.09,0,False,0,0,,0
A000851,U3157,2026-04-23T14:00:00+09:00,211.83.214.78,KR,FP_41466,0.103,19.5,1.27,6.1,False,0,0,,0
A000093,U9936,2026-04-24T16:00:00+09:00,211.146.117.180,KR,FP_28706,0.004,9.5,0.86,0,False,0,0,,0
A000468,U2592,2026-04-18T18:00:00+09:00,211.226.180.161,KR,FP_72101,0.094,19.5,0.8,11.1,False,0,0,,0
A000908,U9164,2026-04-20T10:00:00+09:00,211.239.244.160,KR,FP_85551,0.811,127.1,2.48,170.6,True,1,80,mouse_jitter=127ms|key_burst=2.48|rdp_latency=171ms|device_drift=0.81|immig_overseas,1
A000963,U3976,2026-04-19T17:00:00+09:00,211.191.65.150,KR,FP_07018,0.771,150.4,2.23,155.6,True,1,80,mouse_jitter=150ms|key_burst=2.23|rdp_latency=156ms|device_drift=0.77|immig_overseas,1
A000618,U3623,2026-04-27T12:00:00+09:00,211.58.213.235,KR,FP_10014,0.07,23.5,1.18,5.5,False,0,0,,0
A000989,U6303,2026-04-15T09:00:00+09:00,104.16.13.172,OVERSEAS,FP_24174,0.017,9.6,0.97,3.9,True,1,90,ip_overseas|immig_overseas,1
A000576,U9770,2026-04-06T16:00:00+09:00,211.45.154.178,KR,FP_54892,0.087,20.2,1.18,9.1,False,0,0,,0
A000730,U5312,2026-04-09T15:00:00+09:00,211.61.26.103,KR,FP_31408,0.051,6.7,0.8,5.4,False,0,0,,0
A000245,U5135,2026-04-20T15:00:00+09:00,211.200.58.178,KR,FP_46136,0.089,8.6,1.12,0,False,0,0,,0
A000794,U1583,2026-04-26T11:00:00+09:00,211.85.22.212,KR,FP_67175,0.085,25.6,0.88,3.8,False,0,0,,0
A000770,U0405,2026-04-06T16:00:00+09:00,211.119.135.38,KR,FP_47068,0.084,15.2,0.8,4.9,False,0,0,,0
A000233,U5229,2026-04-10T16:00:00+09:00,211.124.166.192,KR,FP_36740,0.07,10.9,1.19,9.2,False,0,0,,0
A000348,U3305,2026-04-12T15:00:00+09:00,211.151.82.20,KR,FP_71846,0.016,20.2,1.16,3.2,False,0,0,,0
A000547,U4268,2026-04-02T16:00:00+09:00,211.86.26.149,KR,FP_96650,0.021,14.2,1.21,7.9,False,0,0,,0
A000559,U6996,2026-04-23T14:00:00+09:00,211.131.82.37,KR,FP_36345,0.058,10.3,0.97,6.5,False,0,0,,0
A000163,U1531,2026-04-17T11:00:00+09:00,211.78.87.172,KR,FP_73875,0.147,25.1,1.43,10.9,False,0,0,,0
A000318,U6359,2026-04-18T15:00:00+09:00,211.166.141.234,KR,FP_01621,0.066,6.4,0.8,4.3,False,0,0,,0
A000994,U0960,2026-04-19T10:00:00+09:00,203.0.116.89,OVERSEAS,FP_57730,0.086,35.4,0.93,14.9,True,1,90,ip_overseas|immig_overseas,1
A000474,U7116,2026-04-14T10:00:00+09:00,211.116.5.195,KR,FP_07095,0.045,22.7,0.89,4.3,False,0,0,,0
A000864,U3563,2026-04-30T13:00:00+09:00,211.18.237.249,KR,FP_07537,0.007,30.9,0.91,9.1,False,0,0,,0
A000970,U9227,2026-04-11T16:00:00+09:00,8.8.92.132,OVERSEAS,FP_51634,0.137,27.9,0.8,6.3,True,1,90,ip_overseas|immig_overseas,1
A000033,U4066,2026-04-09T11:00:00+09:00,211.55.195.19,KR,FP_61695,0.066,38.1,0.83,6.1,False,0,0,,0
A000969,U5812,2026-04-05T16:00:00+09:00,211.234.141.4,KR,FP_20751,0.614,118.9,2.46,123.3,True,1,80,mouse_jitter=119ms|key_burst=2.46|rdp_latency=123ms|device_drift=0.61|immig_overseas,1
A000663,U5368,2026-04-26T13:00:00+09:00,211.101.43.212,KR,FP_48183,0.092,38.6,1.39,1.5,False,0,0,,0
A000980,U1195,2026-04-26T18:00:00+09:00,203.0.138.21,OVERSEAS,FP_54558,-0.006,12.0,1.22,8.1,True,1,90,ip_overseas|immig_overseas,1
A000311,U0063,2026-04-14T10:00:00+09:00,211.150.245.102,KR,FP_12713,0.08,21.0,0.98,7.0,False,0,0,,0
A000744,U8571,2026-04-24T13:00:00+09:00,211.98.11.129,KR,FP_89219,-0.001,15.9,1.26,2.3,False,0,0,,0
A000738,U2191,2026-04-21T09:00:00+09:00,211.243.2.4,KR,FP_88173,0.079,31.3,0.92,0,False,0,0,,0
