apply_id,user_hash,apply_ts,ip,ip_country,device_fp,device_drift,mouse_jitter_ms,key_burst_ratio,rdp_latency_ms,immig_overseas,prev_in_defaulter,separation_voluntary,device_changed,tz_changed,apply_count_6m,loss_retroactive_days,training_ip_overseas,region_surge_pct,label,risk_score,reasons,pred_p25
A000751,U0320,2026-04-27T12:00:00+09:00,211.106.131.150,KR,FP_48953,0.037,30.4,1.03,0.3,False,False,False,False,False,0,-1,False,8.606438167406584,0,0,,0
A000860,U6472,2026-04-17T15:00:00+09:00,211.112.179.208,KR,FP_90152,0.05,15.3,0.86,0.8,False,False,False,False,False,0,3,False,17.606286457785963,0,0,,0
A000331,U8580,2026-04-10T14:00:00+09:00,211.73.50.67,KR,FP_26895,0.013,18.2,0.8,3.6,False,True,False,False,False,0,-3,False,-11.840995482162118,0,20,L5E:체불사업장이직,0
A000250,U9572,2026-04-05T18:00:00+09:00,211.186.161.219,KR,FP_22104,0.088,20.2,1.06,13.1,False,False,False,False,False,0,0,False,-9.171131765503256,0,0,,0
A000258,U2726,2026-04-09T11:00:00+09:00,211.207.9.145,KR,FP_11240,0.064,33.4,0.8,6.0,False,False,False,False,False,0,3,False,6.093506328476047,0,0,,0
A000756,U6731,2026-04-14T15:00:00+09:00,211.249.24.30,KR,FP_67144,0.005,29.2,1.51,4.7,False,False,False,False,False,0,-1,False,-10.816970403390794,0,0,,0
A000576,U1252,2026-04-26T09:00:00+09:00,211.76.75.163,KR,FP_19370,-0.012,30.1,1.05,0,False,False,False,False,False,0,-3,False,-2.3143942368895187,0,0,,0
A000560,U5021,2026-04-23T12:00:00+09:00,211.113.172.218,KR,FP_62810,0.099,24.0,1.09,5.8,False,False,False,False,False,0,-3,False,0.13614638768297535,0,0,,0
A000779,U4186,2026-04-04T16:00:00+09:00,211.218.86.249,KR,FP_99413,0.045,16.9,1.24,11.9,False,False,False,False,False,1,0,False,8.569364037375243,0,0,,0
A000112,U9223,2026-04-10T16:00:00+09:00,211.8.188.169,KR,FP_88318,0.09,26.6,0.85,15.0,False,False,False,False,False,0,2,False,3.5516641681617376,0,0,,0
A000298,U7259,2026-04-30T14:00:00+09:00,211.161.166.190,KR,FP_54047,0.055,9.4,0.96,0,False,False,False,False,False,1,-1,False,-6.995969736209949,0,0,,0
A000577,U6309,2026-04-12T14:00:00+09:00,211.253.217.246,KR,FP_90889,0.073,33.4,0.95,3.2,False,False,False,False,False,0,1,False,-4.127614640668434,0,0,,0
A000100,U4265,2026-04-23T16:00:00+09:00,211.109.146.251,KR,FP_26238,0.12,33.6,0.8,8.2,False,False,True,False,False,1,-1,False,-7.761634595204912,0,0,,0
A000575,U8692,2026-04-11T18:00:00+09:00,211.92.217.76,KR,FP_87461,0.031,14.6,0.8,2.6,False,False,False,False,False,0,2,False,19.859935345094097,0,0,,0
A000852,U6109,2026-04-03T13:00:00+09:00,211.213.11.152,KR,FP_04587,0.084,15.0,0.96,16.5,False,False,False,False,False,1,2,False,16.955203575421663,0,0,,0
A000380,U3716,2026-04-16T14:00:00+09:00,211.147.24.75,KR,FP_46285,0.023,44.4,0.91,3.0,False,False,False,False,False,0,2,False,1.635099478346833,0,0,,0
A000701,U7164,2026-04-18T16:00:00+09:00,211.250.128.61,KR,FP_73126,-0.018,31.7,0.83,9.4,False,False,False,False,False,0,1,False,18.037959784792598,0,0,,0
A000783,U5390,2026-04-04T13:00:00+09:00,211.211.14.233,KR,FP_33229,0.114,10.4,1.24,0,False,False,False,False,False,0,2,False,20.770969492884504,0,0,,0
A000175,U7035,2026-04-09T17:00:00+09:00,211.32.134.39,KR,FP_65032,0.038,10.9,1.05,0,False,False,False,False,False,0,2,False,0.03169944639415076,0,0,,0
A000842,U4522,2026-04-07T18:00:00+09:00,211.232.145.83,KR,FP_76872,0.136,38.1,1.29,12.1,False,False,False,False,False,0,1,False,10.53718376617834,0,0,,0
A000619,U4986,2026-04-03T13:00:00+09:00,211.168.194.138,KR,FP_91576,0.054,22.6,1.1,2.5,False,False,False,False,False,2,0,False,1.2703045899867313,0,0,,0
A000400,U2349,2026-04-13T15:00:00+09:00,211.52.86.33,KR,FP_47673,0.095,18.6,0.8,0,False,False,False,False,False,0,2,False,1.3445624740897455,0,0,,0
A000109,U8109,2026-04-20T16:00:00+09:00,211.146.4.55,KR,FP_56483,0.063,25.2,1.12,1.6,False,False,True,False,False,0,-1,False,7.589207062463419,0,0,,0
A000635,U9782,2026-04-10T11:00:00+09:00,211.223.165.71,KR,FP_89565,-0.02,20.8,0.85,2.1,False,False,False,False,False,0,-2,False,3.3486295047735797,0,0,,0
A000729,U8677,2026-04-12T13:00:00+09:00,211.149.161.231,KR,FP_88409,0.091,14.3,1.02,0,False,False,False,False,False,0,-1,False,-7.117699229924073,0,0,,0
A000780,U7086,2026-04-14T09:00:00+09:00,211.53.143.141,KR,FP_32987,0.022,13.1,0.92,1.7,False,False,True,False,False,0,1,False,-13.366793498546699,0,0,,0
A000836,U5047,2026-04-21T11:00:00+09:00,211.173.159.219,KR,FP_80168,0.069,23.6,0.94,12.9,False,False,False,False,False,2,-3,False,9.553549269991247,0,0,,0
A000469,U7418,2026-04-09T12:00:00+09:00,211.164.174.107,KR,FP_60267,0.026,28.6,0.95,7.3,False,False,False,True,False,0,-2,False,-2.7559643130162343,0,18,L5D:device_변경,0
A000868,U2695,2026-04-05T11:00:00+09:00,211.12.224.254,KR,FP_48061,0.065,9.8,0.89,0,False,False,False,False,False,0,0,False,-9.803803894246936,0,0,,0
A000314,U0428,2026-04-12T10:00:00+09:00,211.244.68.240,KR,FP_93326,0.031,14.9,0.83,8.7,False,False,False,False,False,2,-1,False,6.751088973914281,0,0,,0
A000135,U3329,2026-04-12T14:00:00+09:00,211.211.23.113,KR,FP_97158,0.006,24.7,1.12,11.0,False,False,False,False,False,0,3,False,-5.243394196451822,0,0,,0
A000291,U2522,2026-04-23T17:00:00+09:00,211.54.64.249,KR,FP_30498,0.067,14.8,1.23,2.2,False,False,False,True,False,0,2,False,-7.286511845892804,0,18,L5D:device_변경,0
A000040,U3631,2026-04-13T12:00:00+09:00,211.156.188.242,KR,FP_72545,-0.002,18.0,1.0,0.5,False,False,False,False,False,0,-2,False,-6.597672297825073,0,0,,0
A000341,U8363,2026-04-13T11:00:00+09:00,211.150.31.189,KR,FP_71944,0.016,20.4,1.0,0,False,False,False,True,False,0,1,False,-10.218448314760044,0,18,L5D:device_변경,0
A000379,U8514,2026-04-21T14:00:00+09:00,211.210.175.167,KR,FP_63721,-0.04,7.1,0.83,8.0,False,False,True,False,False,0,-1,False,-9.095523844350272,0,0,,0
A000682,U3800,2026-04-29T13:00:00+09:00,211.248.250.200,KR,FP_78361,0.014,29.0,1.08,6.4,False,False,False,False,False,2,-1,False,0.17206608855460792,0,0,,0
A000649,U5769,2026-04-12T18:00:00+09:00,211.70.34.224,KR,FP_56035,0.026,5.7,0.8,2.6,False,False,True,False,False,0,1,False,-2.1957545607837363,0,0,,0
A000581,U6824,2026-04-05T11:00:00+09:00,211.240.71.153,KR,FP_61629,0.08,12.3,1.1,6.5,False,False,False,False,False,0,3,False,-15.116929995171924,0,0,,0
A000605,U3339,2026-04-03T10:00:00+09:00,211.13.223.5,KR,FP_82431,0.01,20.7,0.89,0.4,False,False,False,True,False,0,0,False,-8.465222637409047,0,18,L5D:device_변경,0
A000483,U0692,2026-04-16T12:00:00+09:00,211.1.114.117,KR,FP_61150,0.075,14.7,0.9,3.8,False,False,False,False,False,0,-3,False,-24.57794531915976,0,0,,0
A000073,U9978,2026-04-30T13:00:00+09:00,211.14.92.139,KR,FP_92105,-0.007,21.8,0.8,3.1,False,False,False,False,False,0,-3,False,5.094781886626036,0,0,,0
A000733,U0476,2026-04-20T12:00:00+09:00,211.70.41.209,KR,FP_02993,0.042,16.6,1.14,0,False,False,False,False,False,1,2,False,-4.7668544079237245,0,0,,0
A000508,U8785,2026-04-26T18:00:00+09:00,211.87.128.48,KR,FP_78626,0.018,32.6,0.8,12.3,False,False,True,False,False,0,2,False,-8.089980618502722,0,0,,0
A000991,U7590,2026-04-19T16:00:00+09:00,8.8.136.127,OVERSEAS,FP_79035,0.039,12.2,0.94,0.8,True,False,False,False,False,0,0,True,5.210709109882616,1,100,ip_overseas|L5C:훈련_해외IP|L5B:immig_overseas,1
A000387,U4479,2026-04-14T11:00:00+09:00,211.236.70.102,KR,FP_24381,0.077,24.1,0.86,0,False,False,False,False,False,0,-2,False,1.099804907567445,0,0,,0
A000082,U5627,2026-04-23T10:00:00+09:00,211.88.20.126,KR,FP_92750,0.0,24.1,0.88,4.6,False,False,False,False,False,0,1,False,13.361105888020571,0,0,,0
A000583,U2051,2026-04-24T12:00:00+09:00,211.205.28.112,KR,FP_51419,0.04,26.7,1.3,0,False,False,False,False,False,0,3,False,-6.989041165036696,0,0,,0
A000825,U2169,2026-04-12T13:00:00+09:00,211.98.250.144,KR,FP_34954,0.086,29.5,1.11,0.7,False,False,False,False,False,0,-2,False,-15.955014222679093,0,0,,0
A000125,U8362,2026-04-15T09:00:00+09:00,211.232.67.212,KR,FP_59874,0.039,8.2,0.9,3.0,False,True,False,True,False,0,-3,False,-7.592877644301366,0,38,L5E:체불사업장이직|L5D:device_변경,0
A000327,U0101,2026-04-04T14:00:00+09:00,211.174.202.14,KR,FP_23021,0.048,26.5,1.36,10.0,False,False,True,False,False,0,0,False,-5.358257717427892,0,0,,0
A000656,U7844,2026-04-22T10:00:00+09:00,211.39.39.128,KR,FP_71257,0.071,35.0,1.17,0,False,False,False,False,False,0,1,False,-3.8587555576862647,0,0,,0
A000955,U6635,2026-04-19T11:00:00+09:00,211.37.89.37,KR,FP_74793,0.655,96.6,2.03,113.8,True,False,False,True,False,3,-20,True,-3.2546622310896978,1,100,mouse_jitter=97ms|key_burst=2.03|rdp_latency=114ms|device_drift=0.66|L5D:device_변경|L5D:반복신청_3회|L5F:상실소급_20일|L5C:훈련_해외IP|L5B:immig_overseas,1
A000367,U5967,2026-04-10T12:00:00+09:00,211.222.128.171,KR,FP_80848,0.042,25.7,0.8,12.9,False,False,False,False,False,0,-3,False,4.4150645609565995,0,0,,0
A000310,U5682,2026-04-22T14:00:00+09:00,211.181.154.120,KR,FP_65701,0.047,23.5,0.99,9.9,False,False,False,False,False,1,-2,False,12.351220515101868,0,0,,0
A000339,U9772,2026-04-25T15:00:00+09:00,211.167.253.31,KR,FP_11867,0.06,21.1,1.11,0,False,False,False,False,False,0,-1,False,-8.150646331528897,0,0,,0
A000967,U8903,2026-04-26T10:00:00+09:00,211.68.97.32,KR,FP_16554,0.867,92.0,2.43,136.3,True,True,True,True,False,2,-18,False,-1.002093359651965,1,100,mouse_jitter=92ms|key_burst=2.43|rdp_latency=136ms|device_drift=0.87|L5E:체불사업장_자의퇴직위장|L5D:device_변경|L5F:상실소급_18일|L5B:immig_overseas,1
A000611,U4606,2026-04-13T10:00:00+09:00,211.159.84.105,KR,FP_94642,0.083,5,1.03,0,False,False,False,False,False,0,1,False,7.644675392720086,0,0,,0
A000691,U5090,2026-04-11T11:00:00+09:00,211.42.48.86,KR,FP_27222,0.097,27.7,0.83,5.0,False,False,False,False,False,0,-2,False,5.520348744521329,0,0,,0
A000830,U8302,2026-04-21T13:00:00+09:00,211.111.218.128,KR,FP_45189,0.044,7.8,0.8,0,False,False,False,False,False,0,-1,False,2.8905513011008943,0,0,,0
A000412,U3336,2026-04-28T15:00:00+09:00,211.136.146.82,KR,FP_33613,0.036,13.2,1.01,7.8,False,True,False,False,False,0,0,False,-19.17276423238468,0,20,L5E:체불사업장이직,0
A000160,U1872,2026-04-09T17:00:00+09:00,211.187.21.225,KR,FP_71612,0.06,30.3,0.97,0,False,False,False,True,False,0,3,False,4.377551156407507,0,18,L5D:device_변경,0
A000784,U4312,2026-04-25T11:00:00+09:00,211.107.164.205,KR,FP_98740,-0.003,35.0,1.22,0,False,False,False,False,False,1,-2,False,-3.468876815152977,0,0,,0
A000413,U3310,2026-04-06T13:00:00+09:00,211.69.14.132,KR,FP_36409,0.101,16.6,0.9,12.7,False,False,True,False,False,0,1,False,-20.599218750866385,0,0,,0
A000239,U3171,2026-04-10T16:00:00+09:00,211.90.38.95,KR,FP_22780,-0.002,19.5,0.9,8.9,False,False,False,False,False,0,0,False,2.043208786834772,0,0,,0
A000166,U4946,2026-04-06T13:00:00+09:00,211.47.184.128,KR,FP_10804,-0.025,35.6,1.1,9.3,False,False,False,False,False,0,2,False,5.726427822564125,0,0,,0
A000884,U2844,2026-04-30T12:00:00+09:00,211.143.54.1,KR,FP_31297,0.025,10.6,1.25,0,False,False,False,False,False,0,0,False,-15.336950616734935,0,0,,0
A000719,U6910,2026-04-06T11:00:00+09:00,211.203.54.238,KR,FP_10832,0.038,10.8,1.27,2.2,False,False,False,False,False,0,2,False,-8.451985622105624,0,0,,0
A000286,U0318,2026-04-05T09:00:00+09:00,211.11.95.52,KR,FP_36978,0.04,35.7,0.98,1.4,False,False,False,False,False,0,3,False,-9.635438176260248,0,0,,0
A000521,U7061,2026-04-06T11:00:00+09:00,211.191.95.68,KR,FP_25955,0.039,8.2,1.02,10.0,False,False,False,False,False,1,-2,False,8.26324358772655,0,0,,0
A000449,U6910,2026-04-26T12:00:00+09:00,211.70.219.211,KR,FP_53649,0.118,39.7,0.8,0,False,False,False,False,False,0,1,False,-1.5343281538388507,0,0,,0
A000879,U4436,2026-04-30T18:00:00+09:00,211.235.174.74,KR,FP_33388,0.108,14.0,0.91,14.0,False,False,True,False,False,1,0,False,-3.825190700043049,0,0,,0
A000213,U3644,2026-04-22T17:00:00+09:00,211.243.183.153,KR,FP_22281,0.008,31.0,0.8,6.0,False,False,False,False,False,0,-2,False,4.114456706630845,0,0,,0
A000883,U3329,2026-04-18T18:00:00+09:00,211.8.82.46,KR,FP_74874,-0.038,18.3,0.8,4.3,False,False,False,False,False,0,-2,False,11.452947004551016,0,0,,0
A000365,U8571,2026-04-15T15:00:00+09:00,211.122.89.19,KR,FP_78155,0.119,25.0,1.21,11.7,False,False,False,True,False,0,-3,False,-4.315952772228518,0,18,L5D:device_변경,0
A000159,U7273,2026-04-16T11:00:00+09:00,211.42.15.112,KR,FP_38285,0.054,27.0,1.03,2.9,False,False,False,False,False,0,1,False,16.909526529012602,0,0,,0
A000988,U7157,2026-04-27T11:00:00+09:00,123.45.59.25,OVERSEAS,FP_68763,0.052,25.4,1.02,4.2,True,False,False,False,False,0,-1,True,-1.5705559678086611,1,100,ip_overseas|L5C:훈련_해외IP|L5B:immig_overseas,1
A000510,U7021,2026-04-25T12:00:00+09:00,211.40.30.70,KR,FP_49090,0.016,20.1,0.8,10.0,False,False,False,False,False,0,-1,False,5.810845062960644,0,0,,0
A000398,U5150,2026-04-04T16:00:00+09:00,211.56.69.253,KR,FP_99913,0.023,26.3,0.99,3.0,False,False,False,False,False,0,2,False,10.713149515241247,0,0,,0
A000421,U5234,2026-04-15T16:00:00+09:00,211.68.133.88,KR,FP_90108,-0.032,12.6,0.9,4.6,False,False,False,False,False,1,1,False,4.115861946033935,0,0,,0
A000604,U6397,2026-04-24T11:00:00+09:00,211.206.162.81,KR,FP_57332,0.059,35.6,1.07,6.8,False,False,False,False,False,1,3,False,-23.038185355902883,0,0,,0
A000775,U9989,2026-04-14T12:00:00+09:00,211.142.25.205,KR,FP_38863,-0.011,10.7,1.16,0,False,False,False,False,False,0,2,False,5.402073759727889,0,0,,0
A000903,U4694,2026-04-08T18:00:00+09:00,211.84.172.81,KR,FP_78379,0.824,147.3,2.11,160.9,True,False,True,True,True,3,-19,True,2.0593006014396313,1,100,mouse_jitter=147ms|key_burst=2.11|rdp_latency=161ms|device_drift=0.82|L5D:device+tz_변경|L5D:반복신청_3회|L5F:상실소급_19일|L5C:훈련_해외IP|L5B:immig_overseas,1
A000383,U2410,2026-04-26T18:00:00+09:00,211.226.173.57,KR,FP_95898,0.042,17.2,1.01,3.9,False,True,False,False,False,0,-1,False,-4.484346497257408,0,20,L5E:체불사업장이직,0
A000345,U6039,2026-04-04T18:00:00+09:00,211.246.40.72,KR,FP_95707,0.041,16.6,0.8,13.6,False,False,True,False,False,0,0,False,-1.7795365371406078,0,0,,0
A000034,U4134,2026-04-27T10:00:00+09:00,211.240.9.26,KR,FP_45871,0.053,23.7,1.06,4.6,False,False,False,False,False,0,-2,False,10.440495447221341,0,0,,0
A000500,U2870,2026-04-14T12:00:00+09:00,211.91.221.234,KR,FP_50419,0.077,16.6,0.82,2.9,False,False,False,False,False,0,2,False,-14.408104268767596,0,0,,0
A000347,U9792,2026-04-24T13:00:00+09:00,211.133.31.242,KR,FP_75779,0.117,21.6,1.06,14.1,False,False,False,False,False,0,3,False,-1.1007269640040258,0,0,,0
A000210,U9850,2026-04-26T09:00:00+09:00,211.114.129.156,KR,FP_93421,0.12,17.0,0.83,7.2,False,False,False,False,False,0,3,False,-9.453171544263693,0,0,,0
A000565,U3117,2026-04-24T15:00:00+09:00,211.253.38.84,KR,FP_57377,0.1,20.0,0.8,5.9,False,False,False,False,False,0,2,False,-9.949796927303677,0,0,,0
A000480,U8338,2026-04-09T14:00:00+09:00,211.215.246.227,KR,FP_24370,0.054,37.8,1.16,6.6,False,False,False,False,False,0,1,False,0.9008427300184679,0,0,,0
A000452,U7245,2026-04-23T14:00:00+09:00,211.207.101.154,KR,FP_11047,0.094,22.1,0.95,0,False,False,False,False,False,0,1,False,-3.479961799265184,0,0,,0
A000087,U7356,2026-04-08T17:00:00+09:00,211.122.158.240,KR,FP_25431,-0.003,5,1.36,10.5,False,False,False,False,False,2,3,False,-1.0863490649006602,0,0,,0
A000056,U4907,2026-04-29T09:00:00+09:00,211.23.166.28,KR,FP_38453,0.017,28.2,1.01,10.1,False,False,False,False,False,0,0,False,-5.420614586981038,0,0,,0
